crop,region,soil_type,season,year,avg_temperature,avg_rainfall,humidity,sunlight_hours,soil_ph,nitrogen_content,phosphorus_content,potassium_content,organic_matter,farm_area_ha,irrigation_type,fertilizer_kg_ha,pesticide_l_ha,yield_per_ha,total_yield_tons
Wheat,South,Loamy,Rabi,2019,21.19,63.45,43.31,9.73,8.46,321.97,69.09,169.09,0.93,6.98,Flood,114.13,3.88,1.17,8.15
Maize,Central,Peat,Kharif,2021,24.75,345.98,66.0,4.98,7.06,358.19,47.66,236.94,2.97,4.45,Rainfed,121.19,2.01,2.73,12.16
Cotton,East,Silt,Zaid,2021,32.34,78.13,80.48,10.63,5.99,265.86,39.12,192.73,3.41,2.14,Flood,279.81,9.35,0.74,1.58
Maize,East,Clay,Rabi,2017,16.4,130.83,82.29,10.97,5.56,345.47,69.72,198.89,2.66,1.09,Sprinkler,109.9,4.9,4.39,4.78
Rice,East,Loamy,Zaid,2024,34.55,182.52,64.8,10.29,7.8,273.7,25.42,137.0,1.24,0.54,Rainfed,70.13,7.6,1.69,0.91
Tomato,South,Loamy,Rabi,2017,26.41,178.59,77.53,6.2,7.43,249.61,53.67,158.95,2.89,22.78,Sprinkler,132.33,2.16,26.49,603.53
Maize,North,Peat,Kharif,2020,24.71,94.3,44.28,10.45,6.77,223.96,56.12,243.31,4.94,1.45,Sprinkler,136.39,1.68,4.1,5.96
Soybean,East,Silt,Kharif,2019,34.25,441.48,67.51,4.95,6.58,110.86,69.45,54.47,3.16,1.06,Rainfed,51.89,2.56,0.5,0.53
Cotton,West,Silt,Rabi,2023,26.27,27.81,70.74,9.38,8.41,369.86,49.68,248.34,2.14,4.91,Flood,150.84,3.37,0.5,2.45
Sugarcane,East,Peat,Kharif,2024,17.97,65.76,83.52,5.36,6.64,366.36,11.07,286.97,4.55,3.21,Rainfed,213.26,9.91,21.14,67.75
Sugarcane,South,Clay,Kharif,2023,13.04,30.19,82.68,5.07,6.27,362.05,27.92,236.27,2.51,7.63,Sprinkler,108.09,4.2,10.89,83.12
Sugarcane,North,Silt,Kharif,2017,18.47,59.01,87.77,8.27,6.89,251.0,79.73,213.4,3.67,2.38,Flood,167.88,1.84,24.29,57.86
Sugarcane,East,Sandy,Kharif,2017,16.17,62.23,77.41,5.71,6.71,241.36,21.66,67.4,1.93,4.44,Drip,213.17,4.25,18.57,82.36
Wheat,South,Silt,Kharif,2017,31.61,29.47,60.25,5.63,7.1,327.42,50.56,105.46,1.43,0.69,Drip,156.6,4.33,0.6,0.41
Rice,West,Sandy,Zaid,2017,48.96,164.5,59.32,9.36,7.42,281.42,73.56,53.97,0.81,6.9,Rainfed,138.38,9.87,1.13,7.82
Tomato,South,Silt,Rabi,2023,27.78,52.77,57.02,11.37,5.58,259.38,33.44,136.5,1.62,1.22,Sprinkler,58.62,9.88,8.96,10.97
Sugarcane,Central,Loamy,Zaid,2020,15.02,170.15,43.25,4.12,7.3,317.15,37.64,146.94,2.23,1.33,Flood,238.48,2.15,48.82,64.87
Maize,South,Peat,Zaid,2019,27.71,25.3,69.58,7.27,5.74,304.67,52.86,210.67,4.16,2.19,Sprinkler,219.27,7.43,0.8,1.76
Sugarcane,South,Loamy,Kharif,2021,26.81,334.81,57.0,9.71,7.76,251.21,19.01,118.92,1.55,4.16,Drip,115.32,5.47,37.66,156.51
Sugarcane,West,Loamy,Zaid,2016,35.87,22.88,52.92,11.88,6.29,333.16,45.66,80.54,3.4,17.46,Rainfed,271.71,6.9,6.03,105.29
Rice,North,Loamy,Kharif,2023,29.24,58.47,57.85,6.77,8.27,163.39,36.46,157.99,2.34,0.52,Drip,117.74,4.99,1.09,0.57
Sugarcane,East,Peat,Kharif,2019,9.3,129.4,73.29,5.98,5.81,340.96,47.08,94.13,1.68,7.77,Rainfed,213.32,9.45,29.45,228.84
Tomato,East,Loamy,Rabi,2018,34.47,25.36,75.02,6.04,6.47,158.99,31.63,257.37,3.1,1.08,Flood,196.65,6.34,4.1,4.42
Soybean,East,Sandy,Rabi,2022,28.96,135.87,74.35,11.38,6.68,100.99,54.78,267.02,4.89,2.76,Flood,255.54,8.49,1.55,4.27
Rice,West,Clay,Rabi,2024,20.85,119.83,48.66,7.57,8.14,336.84,49.92,252.18,1.19,1.58,Flood,102.22,7.76,2.74,4.34
Tomato,South,Loamy,Rabi,2024,29.44,150.21,68.18,8.89,8.05,127.05,21.76,116.57,4.53,15.0,Sprinkler,139.04,9.24,13.68,205.13
Wheat,East,Sandy,Rabi,2023,25.61,84.11,81.64,8.37,6.86,104.79,10.9,206.9,0.83,7.18,Drip,205.59,4.58,1.54,11.03
Soybean,South,Clay,Zaid,2018,34.52,21.7,50.18,8.17,7.16,125.9,38.52,179.95,2.4,6.53,Rainfed,242.84,4.6,0.5,3.26
Rice,North,Sandy,Kharif,2023,26.58,142.2,67.77,10.96,6.94,272.3,19.02,259.0,2.4,6.85,Sprinkler,157.37,0.01,3.74,25.64
Potato,North,Peat,Rabi,2023,22.54,58.76,50.13,4.99,7.69,326.46,28.55,173.8,2.59,2.69,Sprinkler,119.41,1.86,10.04,27.05
Rice,East,Sandy,Rabi,2023,16.44,199.16,60.86,9.77,6.99,125.61,67.57,104.82,3.68,4.25,Rainfed,222.63,4.71,1.59,6.77
Soybean,North,Loamy,Zaid,2021,27.18,196.3,62.83,7.68,7.1,173.1,61.35,257.36,4.58,4.14,Sprinkler,153.64,8.31,2.62,10.83
Sugarcane,North,Loamy,Kharif,2016,28.46,221.95,72.79,11.07,5.77,303.87,16.22,237.23,3.33,0.58,Rainfed,199.82,1.46,41.23,23.94
Cotton,West,Loamy,Zaid,2018,24.56,32.28,46.28,6.05,5.5,182.74,53.29,200.39,4.86,1.14,Flood,266.39,3.91,0.5,0.57
Soybean,West,Peat,Kharif,2016,15.45,62.9,46.24,7.83,7.86,362.63,77.4,246.32,3.3,3.94,Drip,268.72,7.4,0.79,3.11
Sugarcane,West,Silt,Kharif,2019,19.52,110.58,84.92,9.22,8.32,359.91,19.02,52.91,2.23,10.52,Flood,107.53,6.91,32.24,339.33
Potato,West,Clay,Zaid,2022,39.52,157.07,48.25,5.91,6.23,264.54,30.27,252.93,2.06,5.91,Rainfed,287.13,6.07,12.74,75.24
Potato,South,Peat,Rabi,2024,19.7,41.81,70.2,8.46,6.72,188.31,40.37,122.8,1.5,2.66,Drip,200.58,6.48,4.83,12.86
Cotton,South,Sandy,Rabi,2017,13.54,314.5,53.1,9.7,5.74,299.45,42.2,192.28,1.33,3.34,Flood,241.57,7.67,1.01,3.38
Potato,West,Loamy,Rabi,2015,33.03,91.39,79.63,10.04,7.26,249.96,75.19,192.32,2.67,10.67,Drip,67.86,6.56,12.53,133.64
Wheat,North,Clay,Zaid,2024,18.6,191.38,79.63,8.03,7.48,331.79,43.83,276.49,2.47,11.63,Flood,195.69,4.26,2.34,27.24
Tomato,South,Peat,Kharif,2023,30.8,75.99,61.07,7.92,6.36,247.47,36.3,277.36,3.04,9.48,Sprinkler,221.72,2.13,16.18,153.39
Sugarcane,South,Clay,Zaid,2016,21.78,29.13,62.43,5.91,7.11,190.01,60.6,284.23,3.69,2.69,Rainfed,200.02,8.89,8.89,23.96
Cotton,East,Sandy,Zaid,2019,39.01,127.08,62.69,9.83,7.4,288.47,24.17,128.15,2.05,8.76,Rainfed,243.78,2.53,0.68,5.94
Cotton,Central,Peat,Rabi,2024,24.69,166.01,60.49,5.76,5.85,103.84,39.94,134.94,3.63,19.29,Rainfed,101.7,2.43,0.79,15.21
Sugarcane,West,Sandy,Zaid,2020,40.07,63.39,45.21,9.84,7.88,174.29,19.57,181.95,1.44,2.84,Rainfed,244.34,2.2,11.69,33.24
Sugarcane,Central,Loamy,Zaid,2017,22.4,132.09,50.99,8.21,7.34,160.08,20.15,182.79,3.62,3.63,Drip,67.51,9.25,49.36,179.07
Wheat,South,Sandy,Kharif,2022,37.1,70.85,89.22,5.06,7.72,226.26,71.68,229.32,3.03,14.38,Rainfed,278.11,0.52,0.8,11.49
Rice,South,Loamy,Zaid,2023,35.21,132.72,86.09,7.44,5.61,292.99,23.63,188.08,2.23,4.58,Sprinkler,283.11,4.86,2.43,11.13
Tomato,North,Silt,Kharif,2020,10.81,170.57,63.5,9.93,8.23,208.68,79.26,87.45,3.4,0.68,Flood,103.26,6.34,11.53,7.8
Cotton,East,Clay,Rabi,2018,31.59,30.73,54.55,8.61,5.55,244.71,53.8,150.63,0.8,5.22,Rainfed,201.46,5.06,0.5,2.61
Tomato,South,Peat,Rabi,2023,30.13,37.61,59.63,4.54,7.96,261.47,77.97,285.58,4.99,1.03,Drip,201.65,4.08,6.99,7.22
Rice,South,Sandy,Zaid,2015,16.6,56.93,42.4,9.66,8.4,259.71,33.07,284.57,2.14,12.8,Sprinkler,263.92,5.29,1.19,15.17
Sugarcane,West,Peat,Kharif,2016,32.78,37.52,74.64,4.03,7.63,266.45,28.18,250.94,2.32,3.83,Sprinkler,56.92,4.01,12.99,49.68
Tomato,Central,Clay,Rabi,2020,36.05,52.32,52.61,4.37,6.88,256.78,49.97,165.55,4.41,0.69,Drip,203.45,8.66,7.66,5.3
Wheat,Central,Peat,Zaid,2017,46.0,41.18,52.63,10.28,7.2,194.73,63.53,236.68,2.05,3.85,Drip,216.13,3.43,0.64,2.46
Tomato,West,Peat,Kharif,2020,24.13,48.91,54.6,6.49,8.31,350.1,49.56,190.97,0.75,5.74,Flood,132.03,6.12,8.68,49.83
Maize,Central,Silt,Rabi,2024,25.96,103.06,50.34,9.17,7.16,330.2,17.74,160.9,4.99,6.34,Sprinkler,221.07,3.18,3.34,21.2
Soybean,East,Clay,Zaid,2020,20.93,318.57,45.27,11.94,5.88,151.27,31.59,178.09,4.06,18.2,Drip,139.71,0.2,1.47,26.81
Tomato,North,Loamy,Kharif,2017,18.91,40.27,55.3,9.25,6.98,323.03,25.27,260.5,1.2,2.5,Rainfed,197.8,7.37,5.01,12.53
Wheat,North,Clay,Zaid,2018,37.52,315.88,75.31,5.74,7.68,308.9,62.69,278.97,3.7,2.67,Drip,247.63,6.96,2.18,5.82
Wheat,South,Peat,Kharif,2024,30.13,91.9,71.41,7.32,7.84,202.31,66.74,76.99,3.69,3.74,Rainfed,224.69,5.31,0.82,3.07
Cotton,South,Loamy,Rabi,2016,23.22,84.82,88.23,10.04,6.4,383.23,64.53,141.11,3.22,3.28,Sprinkler,74.17,8.06,1.08,3.54
Potato,North,Peat,Kharif,2023,39.72,289.14,43.14,7.15,7.34,333.79,74.47,50.12,3.32,0.53,Flood,246.81,1.5,13.61,7.28
Rice,Central,Clay,Kharif,2019,21.95,36.86,78.22,6.31,7.17,282.53,24.47,124.67,0.98,0.53,Flood,109.87,5.16,0.79,0.42
Wheat,South,Loamy,Kharif,2022,32.21,85.56,49.11,7.14,6.31,115.2,63.45,122.92,4.75,11.45,Sprinkler,229.07,3.27,1.04,11.89
Potato,North,Loamy,Zaid,2023,18.93,84.49,57.73,11.21,5.87,317.34,52.76,251.58,2.94,5.47,Rainfed,290.69,0.92,8.17,44.67
Soybean,West,Silt,Kharif,2022,20.11,42.3,44.13,4.18,7.79,245.52,69.04,140.21,3.67,3.85,Drip,203.02,3.7,0.53,2.04
Soybean,East,Peat,Zaid,2024,5.92,314.45,81.8,6.5,8.38,190.15,41.01,238.78,1.89,2.46,Rainfed,152.52,4.68,0.65,1.59
Soybean,South,Loamy,Kharif,2024,18.93,162.37,54.75,5.45,8.39,376.16,17.4,274.82,4.51,5.53,Drip,182.43,2.17,1.9,10.48
Wheat,East,Peat,Rabi,2021,22.76,113.23,81.1,9.51,6.04,187.01,48.25,206.25,0.83,5.26,Drip,234.08,1.81,2.36,12.4
Sugarcane,East,Silt,Zaid,2018,31.38,148.85,58.57,4.84,7.46,300.18,28.24,58.81,3.49,6.58,Drip,56.52,6.93,57.59,378.81
Sugarcane,West,Silt,Kharif,2024,5.59,39.7,66.07,9.57,6.19,325.46,70.77,253.64,1.67,8.65,Rainfed,153.34,2.66,7.91,68.46
Maize,East,Loamy,Kharif,2016,23.79,220.79,47.98,10.14,5.83,105.27,79.65,68.38,2.58,11.03,Rainfed,254.84,4.71,2.01,22.18
Cotton,South,Silt,Zaid,2024,31.78,119.35,45.49,6.28,6.4,213.44,29.17,112.87,2.1,2.88,Drip,171.81,1.74,1.26,3.64
Maize,Central,Sandy,Rabi,2022,21.72,33.16,76.12,11.39,5.61,104.33,22.84,221.2,4.84,7.44,Sprinkler,193.26,7.01,0.73,5.42
Tomato,North,Sandy,Zaid,2024,29.7,136.65,56.07,5.78,6.21,300.34,63.71,195.45,0.79,0.69,Rainfed,104.29,2.86,18.69,12.96
Potato,West,Clay,Rabi,2018,26.51,144.31,57.33,8.5,5.8,224.57,70.03,215.16,0.97,9.91,Flood,220.17,4.53,22.95,227.3
Maize,Central,Clay,Rabi,2019,22.15,38.97,67.52,8.94,8.28,120.07,36.23,284.2,1.48,8.89,Flood,50.4,0.26,0.93,8.22
Rice,West,Clay,Kharif,2016,22.21,68.26,46.57,5.79,7.01,195.74,24.83,148.37,3.65,1.14,Rainfed,169.9,2.75,0.93,1.05
Sugarcane,South,Loamy,Zaid,2019,26.89,192.35,86.49,5.94,7.39,303.0,68.97,274.76,2.61,20.75,Rainfed,292.71,5.06,49.71,1031.38
Cotton,North,Loamy,Kharif,2015,16.04,128.48,65.71,4.28,8.06,382.13,11.84,247.32,2.24,4.91,Sprinkler,175.0,5.51,1.3,6.4
Wheat,South,Silt,Kharif,2015,36.91,211.99,74.18,7.3,7.57,389.51,15.62,147.02,4.42,7.22,Flood,283.73,0.4,2.58,18.61
Maize,West,Silt,Kharif,2021,29.58,110.95,42.6,8.31,6.72,258.11,61.82,198.99,1.82,5.08,Sprinkler,70.78,0.05,3.86,19.57
Rice,East,Loamy,Zaid,2019,29.24,161.55,81.13,8.4,8.1,137.77,77.49,280.44,3.2,0.8,Rainfed,163.55,1.79,2.53,2.03
Rice,Central,Peat,Kharif,2024,24.35,43.02,49.09,5.98,5.59,314.83,31.47,224.53,3.44,0.84,Flood,128.01,5.67,1.16,0.98
Soybean,North,Peat,Rabi,2024,13.98,71.3,65.24,10.0,7.91,377.0,44.8,98.46,3.94,1.17,Drip,154.59,6.28,1.01,1.18
Potato,West,Silt,Rabi,2024,18.49,419.81,48.92,4.77,7.49,373.0,49.16,198.87,2.92,0.72,Drip,220.33,3.58,14.89,10.7
Maize,South,Peat,Zaid,2019,29.95,40.68,55.11,8.04,6.93,220.09,32.01,86.8,4.19,3.48,Rainfed,193.24,5.47,0.71,2.48
Cotton,East,Loamy,Kharif,2018,32.27,52.01,67.69,5.96,7.27,229.58,12.76,233.5,1.74,13.14,Flood,120.14,9.97,0.51,6.77
Tomato,South,Silt,Kharif,2022,36.51,22.68,43.81,4.66,5.67,180.34,32.72,77.82,2.47,2.77,Flood,209.08,1.96,2.09,5.81
Soybean,North,Silt,Zaid,2023,43.7,24.03,67.95,6.94,8.27,365.69,54.64,241.96,3.4,0.59,Drip,225.78,1.77,0.5,0.29
Rice,West,Loamy,Zaid,2015,27.42,21.06,55.55,8.14,6.5,308.2,46.59,289.92,2.11,6.9,Sprinkler,258.96,2.54,0.63,4.36
Cotton,South,Peat,Zaid,2023,17.19,20.37,77.19,5.49,5.65,249.16,34.27,222.95,0.98,1.21,Drip,151.03,5.2,0.5,0.61
Tomato,South,Peat,Rabi,2022,22.76,108.1,85.13,5.74,7.29,296.57,60.81,297.16,2.61,2.8,Flood,263.05,1.77,16.38,45.94
Soybean,South,Sandy,Rabi,2019,12.34,70.51,89.3,6.79,7.62,175.12,31.24,110.79,3.07,1.78,Rainfed,229.59,6.8,0.5,0.89
Tomato,North,Loamy,Kharif,2018,22.17,22.59,41.13,8.26,8.02,279.66,40.5,270.53,1.39,2.73,Drip,191.33,2.92,4.99,13.6
Wheat,Central,Clay,Rabi,2018,19.88,39.37,66.62,8.4,8.45,279.99,56.66,103.43,0.98,5.11,Rainfed,266.22,5.87,0.5,2.55
Wheat,South,Peat,Kharif,2021,24.46,106.32,63.44,5.14,7.72,259.91,37.95,189.91,1.59,3.29,Sprinkler,205.61,2.26,2.48,8.18
Sugarcane,East,Sandy,Kharif,2019,34.07,207.89,64.73,5.56,7.71,225.6,51.62,76.82,3.34,2.84,Drip,133.55,9.8,41.27,117.16
Maize,South,Clay,Zaid,2015,25.53,133.33,71.39,4.83,7.74,196.95,65.93,201.91,1.93,2.7,Flood,232.88,5.5,4.14,11.18
Tomato,West,Sandy,Kharif,2019,28.47,58.62,70.99,4.92,6.46,294.66,29.19,270.08,3.48,10.71,Flood,148.85,0.34,11.12,119.12
Rice,North,Clay,Zaid,2022,20.87,61.43,62.41,9.45,7.6,108.27,63.85,173.38,3.01,2.27,Flood,155.21,7.1,1.0,2.27
Rice,Central,Sandy,Kharif,2019,37.41,49.85,81.6,8.88,7.83,243.15,26.04,157.31,2.22,2.52,Flood,103.04,7.59,0.65,1.63
Soybean,Central,Clay,Kharif,2024,17.67,238.53,48.75,11.84,8.47,219.52,79.15,267.27,0.87,15.22,Rainfed,60.63,1.82,1.3,19.75
Cotton,North,Sandy,Kharif,2019,25.59,250.56,45.59,11.54,6.55,358.45,56.79,290.07,4.39,11.44,Rainfed,207.94,8.33,1.52,17.42
Wheat,Central,Peat,Rabi,2017,36.48,37.63,72.43,5.19,8.11,119.78,79.09,150.16,1.27,14.22,Rainfed,61.36,4.7,0.5,7.11
Cotton,Central,Silt,Kharif,2017,27.48,140.54,87.6,4.82,5.97,252.66,39.29,152.7,1.84,4.61,Sprinkler,270.82,1.61,1.51,6.96
Sugarcane,North,Silt,Rabi,2017,9.26,131.12,42.81,9.39,6.44,207.36,38.39,137.4,4.29,15.1,Sprinkler,187.0,5.82,30.61,462.26
Cotton,North,Loamy,Zaid,2018,30.19,25.17,49.92,5.62,6.01,297.59,74.99,240.74,2.65,3.09,Sprinkler,146.61,6.01,0.5,1.54
Potato,North,Clay,Zaid,2024,38.15,45.63,70.14,7.13,5.54,106.67,29.19,178.11,2.09,0.62,Drip,105.79,0.96,4.33,2.69
Wheat,South,Loamy,Rabi,2023,15.58,103.64,47.54,11.87,8.41,296.8,59.5,156.47,4.83,3.26,Rainfed,109.87,1.15,1.16,3.77
Rice,West,Sandy,Kharif,2022,30.65,104.91,52.25,9.23,6.65,366.06,49.09,205.65,3.0,11.34,Drip,65.85,0.67,3.11,35.28
Maize,Central,Silt,Rabi,2017,22.03,63.43,53.9,5.88,8.24,188.54,55.37,246.77,0.6,0.67,Drip,133.28,6.96,1.98,1.33
Maize,North,Clay,Zaid,2020,36.97,20.15,54.41,4.72,6.16,199.96,18.96,226.59,1.65,5.91,Sprinkler,199.76,8.98,0.5,2.96
Potato,West,Sandy,Kharif,2024,28.47,192.67,49.61,4.86,8.07,153.44,70.98,290.28,1.49,9.68,Flood,155.96,7.89,19.07,184.5
Soybean,West,Peat,Zaid,2015,22.29,27.3,75.63,5.21,8.28,225.32,15.74,107.12,4.38,2.44,Drip,264.08,1.72,0.5,1.22
Sugarcane,West,Silt,Zaid,2020,29.48,110.76,75.81,10.74,7.07,353.61,54.71,221.41,1.19,14.49,Drip,249.02,2.54,54.53,789.92
Wheat,North,Silt,Kharif,2017,22.86,67.24,73.02,11.95,5.64,385.76,15.07,165.19,2.67,2.06,Flood,191.67,8.34,1.29,2.66
Wheat,North,Silt,Kharif,2024,26.54,159.33,87.73,5.28,8.2,244.64,26.5,290.69,1.57,7.11,Rainfed,246.22,4.31,2.38,16.92
Rice,South,Clay,Zaid,2022,20.01,104.97,49.6,10.08,8.28,246.59,79.6,156.99,2.66,6.1,Sprinkler,96.44,9.02,2.4,14.65
Maize,North,Clay,Kharif,2023,27.27,235.2,74.0,8.09,8.3,231.92,45.04,92.39,4.76,1.75,Rainfed,100.35,1.01,2.33,4.08
Wheat,Central,Silt,Kharif,2021,32.72,51.97,77.04,6.46,7.66,158.79,26.1,251.54,2.17,1.09,Rainfed,290.35,1.77,0.57,0.62
Maize,South,Clay,Kharif,2019,19.07,36.91,82.32,5.37,5.83,363.99,41.07,89.29,3.12,0.71,Flood,156.85,5.9,1.25,0.89
Cotton,West,Clay,Rabi,2016,22.92,59.52,78.25,5.06,6.8,166.94,44.47,154.31,4.91,12.97,Sprinkler,195.55,1.77,0.6,7.83
Rice,West,Clay,Rabi,2019,20.55,47.97,44.61,11.68,6.01,145.03,78.04,178.99,3.91,2.48,Flood,183.22,0.07,0.87,2.15
Soybean,West,Clay,Kharif,2018,24.36,100.99,65.72,7.25,7.86,250.49,54.53,96.16,4.38,2.75,Flood,170.53,3.52,1.29,3.54
Cotton,South,Sandy,Rabi,2017,23.5,159.72,45.14,4.24,8.01,139.35,20.83,201.65,4.18,1.55,Drip,78.55,0.77,1.23,1.9
Potato,North,Sandy,Rabi,2017,27.19,32.38,87.13,4.76,7.29,376.29,53.95,58.19,3.18,12.17,Sprinkler,130.64,3.14,4.72,57.46
Cotton,North,Sandy,Zaid,2015,12.14,148.66,72.24,7.21,7.67,129.55,62.47,200.73,3.34,0.83,Flood,204.53,4.94,1.02,0.85
Cotton,West,Silt,Kharif,2021,25.27,58.84,40.38,7.38,6.7,226.84,52.84,124.98,1.71,3.94,Drip,198.08,5.67,0.83,3.26
Soybean,South,Silt,Zaid,2020,9.12,64.79,87.89,7.65,7.66,390.13,20.57,63.65,1.91,0.73,Flood,79.19,9.92,0.7,0.51
Rice,South,Sandy,Rabi,2021,37.26,137.54,77.65,5.12,7.29,146.32,36.49,136.34,3.26,0.92,Drip,75.87,6.1,2.03,1.86
Tomato,Central,Loamy,Zaid,2023,17.65,237.23,42.65,9.74,5.92,291.21,56.46,251.06,2.28,0.61,Drip,252.76,4.44,29.56,18.04
Maize,East,Loamy,Zaid,2020,21.67,169.6,64.92,12.0,6.89,308.95,56.89,179.52,3.13,8.51,Flood,192.9,4.5,5.18,44.05
Rice,West,Clay,Kharif,2016,23.39,225.4,72.16,11.78,5.62,316.6,31.99,55.82,4.22,1.39,Drip,103.52,3.4,3.53,4.9
Rice,East,Peat,Zaid,2016,16.85,117.97,53.24,5.35,5.83,144.94,70.77,280.67,4.86,9.5,Sprinkler,271.85,8.16,3.05,28.99
Potato,Central,Silt,Zaid,2019,23.95,59.05,69.21,8.87,7.22,312.02,58.93,71.8,1.78,11.53,Rainfed,197.51,3.29,7.0,80.66
Cotton,West,Peat,Rabi,2023,34.58,48.64,60.46,6.21,8.11,318.49,42.22,283.08,4.67,6.72,Rainfed,273.0,7.19,0.5,3.36
Maize,South,Silt,Rabi,2015,12.06,26.21,80.04,4.98,6.73,170.39,41.82,128.75,4.23,19.62,Drip,285.39,6.22,0.65,12.78
Cotton,East,Silt,Rabi,2015,20.47,71.2,66.12,6.05,8.19,153.91,52.73,249.86,3.18,0.91,Sprinkler,202.86,7.67,0.65,0.59
Tomato,Central,Clay,Zaid,2016,29.56,450.2,60.5,4.2,6.76,298.07,72.4,284.53,4.59,5.86,Drip,220.63,0.02,15.29,89.65
Tomato,East,Peat,Zaid,2017,27.85,257.36,74.48,7.74,5.81,173.89,48.84,274.38,0.93,1.33,Drip,213.75,2.94,25.07,33.46
Potato,East,Clay,Kharif,2021,24.76,107.65,85.22,8.24,7.57,154.21,59.94,212.17,1.47,6.03,Sprinkler,102.87,5.94,15.7,94.76
Potato,Central,Sandy,Kharif,2020,14.38,138.21,85.46,11.58,7.93,363.62,11.35,140.67,0.68,1.77,Sprinkler,145.43,8.68,17.16,30.43
Cotton,Central,Loamy,Zaid,2021,14.69,112.36,80.78,6.41,8.3,163.99,74.35,57.07,2.94,21.56,Flood,202.44,5.55,0.61,13.11
Tomato,North,Peat,Kharif,2016,36.19,54.15,42.7,6.01,6.03,377.07,69.66,129.43,4.26,1.69,Sprinkler,99.89,7.68,8.35,14.12
Potato,East,Loamy,Rabi,2017,26.14,476.61,68.3,6.11,6.62,294.59,59.1,271.58,4.59,10.38,Sprinkler,212.12,4.5,13.99,145.17
Wheat,South,Clay,Kharif,2018,22.74,129.83,50.9,8.06,6.12,369.74,32.63,251.36,2.2,7.71,Rainfed,105.23,7.64,2.01,15.53
Maize,North,Loamy,Rabi,2015,16.88,95.06,81.04,10.04,5.65,247.65,69.66,212.53,0.77,2.47,Sprinkler,189.15,1.73,3.1,7.66
Soybean,North,Clay,Kharif,2015,24.81,120.74,50.12,8.4,7.94,212.45,27.29,225.31,0.82,9.44,Rainfed,285.86,9.65,1.25,11.81
Soybean,East,Silt,Rabi,2018,33.0,45.29,41.39,7.08,8.15,251.52,47.12,222.87,3.09,0.78,Drip,190.22,6.48,0.66,0.52
Wheat,North,Peat,Zaid,2024,27.76,150.32,66.0,11.2,6.89,255.46,64.62,258.31,3.42,1.18,Drip,132.99,0.2,3.58,4.21
Rice,East,Clay,Rabi,2015,35.66,108.1,41.99,6.07,7.23,312.71,70.65,291.91,4.51,3.65,Drip,236.73,2.41,2.19,8.0
Rice,West,Peat,Zaid,2017,27.45,25.66,52.07,4.3,8.05,246.98,66.76,284.97,4.97,14.34,Sprinkler,229.14,4.42,0.62,8.93
Maize,West,Sandy,Rabi,2024,28.96,338.51,63.88,9.19,7.93,229.92,68.06,77.86,2.67,3.79,Rainfed,221.16,1.16,1.66,6.31
Wheat,West,Clay,Zaid,2020,25.34,250.86,55.19,6.62,7.83,224.47,68.3,150.37,3.92,4.23,Flood,283.96,3.27,2.3,9.72
Rice,Central,Silt,Rabi,2019,19.06,95.94,55.68,6.08,7.11,396.33,25.02,110.63,1.59,8.34,Rainfed,177.62,3.85,1.87,15.59
Soybean,North,Clay,Kharif,2024,32.94,55.31,59.61,4.59,5.86,141.02,34.29,181.02,0.5,1.55,Flood,93.91,2.53,0.5,0.78
Soybean,South,Silt,Kharif,2016,36.49,191.12,73.38,9.63,7.4,294.81,74.99,96.43,1.74,0.99,Sprinkler,259.33,4.49,2.02,2.0
Tomato,North,Clay,Zaid,2016,29.14,73.05,62.13,7.59,7.34,329.84,34.59,207.54,1.42,4.54,Flood,186.65,8.89,13.73,62.33
Rice,Central,Peat,Zaid,2020,21.42,206.19,40.03,7.83,5.56,205.78,54.57,142.8,4.67,5.62,Flood,211.61,3.74,2.31,12.97
Sugarcane,Central,Sandy,Zaid,2019,24.9,154.01,75.81,8.24,6.75,261.5,62.28,228.2,3.46,12.21,Sprinkler,202.47,0.15,77.59,947.07
Wheat,South,Loamy,Zaid,2015,19.71,75.81,72.55,9.64,8.18,352.41,18.16,202.2,3.18,2.31,Drip,96.03,2.0,1.43,3.3
Sugarcane,South,Loamy,Kharif,2019,26.38,184.13,47.42,6.12,6.15,313.86,21.09,56.02,2.18,2.32,Rainfed,149.43,7.54,35.09,81.4
Potato,North,Silt,Rabi,2021,38.05,93.15,68.3,8.65,7.45,118.23,53.15,229.24,1.9,19.72,Flood,86.11,9.1,8.76,172.78
Cotton,Central,Loamy,Rabi,2021,22.69,129.16,83.8,10.65,6.54,311.61,13.54,166.0,4.72,2.1,Rainfed,62.49,5.83,1.23,2.59
Maize,North,Clay,Kharif,2023,35.04,117.18,61.87,8.06,8.48,387.14,59.51,90.37,2.12,11.23,Sprinkler,155.89,9.55,3.02,33.91
Cotton,North,Sandy,Zaid,2023,10.35,217.88,41.77,7.47,7.6,359.07,52.67,93.32,4.49,4.78,Drip,77.0,4.64,1.54,7.37
Maize,South,Sandy,Zaid,2022,33.55,75.11,69.17,5.69,7.04,166.86,25.76,119.98,0.7,1.39,Flood,156.09,1.31,1.2,1.67
Wheat,South,Silt,Kharif,2015,23.87,363.99,61.35,7.23,6.3,253.73,51.72,154.55,2.27,6.53,Flood,287.44,8.78,1.84,11.98
